origin,body,frame,file,n_events,n_pairs,n_near45,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,samedate_sep_median,samedate_sep_p90,daily_drift_med_deg_per_day,operational_scale_flag
EA,VS,G-AZ,EA_x_VS_G-AZ,46152,297352,80481,6.0,20.0,6.0,9.0,86.0,,same-slate-discriminator
VX G-LON,MO,G-LON_x_G-RA,VX_G-LON_x_MO_G-RA,46152,297352,80481,6.0,23.0,6.0,10.0,100.0,25.830737511894426,same-slate-discriminator
VX G-RA,MO,G-RA_x_G-LON,VX_G-RA_x_MO_G-LON,46152,297352,80481,6.0,24.0,5.0,10.0,102.0,25.97134579664217,same-slate-discriminator
VX,CE,G-LON,VX_x_CE_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.693254685556553,same-slate-discriminator
VX,CE,G-RA,VX_x_CE_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.634609701486816,same-slate-discriminator
VX,JN,G-LON,VX_x_JN_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.712664564175057,same-slate-discriminator
VX,JN,G-RA,VX_x_JN_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.679843194376758,same-slate-discriminator
VX,JU,G-LON,VX_x_JU_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.84735720202579,same-slate-discriminator
VX,JU,G-RA,VX_x_JU_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.541413692951966,same-slate-discriminator
VX,MA,G-LON,VX_x_MA_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.753942953666893,same-slate-discriminator
VX,MA,G-RA,VX_x_MA_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,104.0,21.742707672433426,same-slate-discriminator
VX,ME,G-LON,VX_x_ME_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.70896678350401,same-slate-discriminator
VX,ME,G-RA,VX_x_ME_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,104.0,21.689407790969838,same-slate-discriminator
VX,MO,G-LON,VX_x_MO_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,100.0,25.895684702137203,same-slate-discriminator
VX,MO,G-RA,VX_x_MO_G-RA,46152,297352,80481,6.0,24.0,5.0,10.0,102.0,25.847911715725132,same-slate-discriminator
VX,NE,G-LON,VX_x_NE_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.78704241558262,same-slate-discriminator
VX,NE,G-RA,VX_x_NE_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.60307613890177,same-slate-discriminator
VX,NN,G-LON,VX_x_NN_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.732568712692107,same-slate-discriminator
VX,NN,G-RA,VX_x_NN_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.671620516113528,same-slate-discriminator
VX,PA,G-LON,VX_x_PA_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.782611548714442,same-slate-discriminator
VX,PA,G-RA,VX_x_PA_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.66828734119474,same-slate-discriminator
VX,PL,G-LON,VX_x_PL_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.725565890954,same-slate-discriminator
VX,PL,G-RA,VX_x_PL_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.5,same-slate-discriminator
VX,SA,G-LON,VX_x_SA_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.701853067580927,same-slate-discriminator
VX,SA,G-RA,VX_x_SA_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.590873019812534,same-slate-discriminator
VX,SU,G-LON,VX_x_SU_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.733899246989154,same-slate-discriminator
VX,SU,G-RA,VX_x_SU_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,104.0,21.809152918460427,same-slate-discriminator
VX,UR,G-LON,VX_x_UR_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.66026953060782,same-slate-discriminator
VX,UR,G-RA,VX_x_UR_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.518010935706172,same-slate-discriminator
VX,VE,G-LON,VX_x_VE_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.741622937484195,same-slate-discriminator
VX,VE,G-RA,VX_x_VE_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,104.0,21.87824897895257,same-slate-discriminator
VX,VS,G-LON,VX_x_VS_G-LON,46152,297352,80481,6.0,23.0,6.0,10.0,103.0,21.724572415997244,same-slate-discriminator
VX,VS,G-RA,VX_x_VS_G-RA,46152,297352,80481,6.0,24.0,6.0,10.0,105.0,21.53052744457919,same-slate-discriminator
Asc G-LON,MO,G-LON_x_G-RA,Asc_G-LON_x_MO_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,73.0,25.586533549615822,same-slate-discriminator
Asc G-RA,MO,G-RA_x_G-LON,Asc_G-RA_x_MO_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,72.0,25.70023300847359,same-slate-discriminator
Asc,CE,G-LON,Asc_x_CE_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.11632590720677,same-slate-discriminator
Asc,CE,G-RA,Asc_x_CE_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.710131204920486,same-slate-discriminator
Asc,JN,G-LON,Asc_x_JN_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.06409208178608,same-slate-discriminator
Asc,JN,G-RA,Asc_x_JN_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.73553564608062,same-slate-discriminator
Asc,JU,G-LON,Asc_x_JU_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.05504430142193,same-slate-discriminator
Asc,JU,G-RA,Asc_x_JU_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.678367275706535,same-slate-discriminator
Asc,MA,G-LON,Asc_x_MA_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.198866936840858,same-slate-discriminator
Asc,MA,G-RA,Asc_x_MA_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.81740985900501,same-slate-discriminator
Asc,ME,G-AZ,Asc_x_ME_G-AZ,46152,297352,80481,5.0,20.0,5.0,9.0,92.0,,same-slate-discriminator
Asc,ME,G-LON,Asc_x_ME_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.12440785424289,same-slate-discriminator
Asc,ME,G-RA,Asc_x_ME_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.82140957584167,same-slate-discriminator
Asc,MO,G-LON,Asc_x_MO_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,73.0,25.78612153008561,same-slate-discriminator
Asc,MO,G-RA,Asc_x_MO_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,72.0,25.47336685353997,same-slate-discriminator
Asc,NE,G-LON,Asc_x_NE_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.038598811900037,same-slate-discriminator
Asc,NE,G-RA,Asc_x_NE_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.6689980882814,same-slate-discriminator
Asc,NN,G-LON,Asc_x_NN_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.02720716306979,same-slate-discriminator
Asc,NN,G-RA,Asc_x_NN_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,21.680013730436215,same-slate-discriminator
Asc,PA,G-AZ,Asc_x_PA_G-AZ,46152,297352,80481,5.0,19.0,5.0,8.0,68.0,,same-slate-discriminator
Asc,PA,G-LON,Asc_x_PA_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.0,same-slate-discriminator
Asc,PA,G-RA,Asc_x_PA_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.615997950402527,same-slate-discriminator
Asc,PL,G-LON,Asc_x_PL_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.007851481245353,same-slate-discriminator
Asc,PL,G-RA,Asc_x_PL_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.695536468578748,same-slate-discriminator
Asc,SA,G-LON,Asc_x_SA_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.0,same-slate-discriminator
