origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
Asc,ME,G-AZ,>360,28565,418.0,94.0,132.0
Asc,ME,G-LON,<=15,54228,3.0,5.0,15.0
Asc,ME,G-LON,15-30,10357,25.0,6.0,18.0
Asc,ME,G-LON,30-45,15407,32.0,6.0,17.0
Asc,ME,G-LON,45-90,53296,60.0,5.0,16.0
Asc,ME,G-LON,90-180,70030,125.0,7.0,32.0
Asc,ME,G-LON,180-360,65469,211.0,46.0,84.0
Asc,ME,G-LON,>360,28565,418.0,79.0,104.0
Asc,ME,G-RA,<=15,54228,3.0,5.0,15.0
Asc,ME,G-RA,15-30,10357,25.0,6.0,17.399999999999636
Asc,ME,G-RA,30-45,15407,32.0,6.0,17.0
Asc,ME,G-RA,45-90,53296,60.0,5.0,16.0
Asc,ME,G-RA,90-180,70030,125.0,7.0,32.0
Asc,ME,G-RA,180-360,65469,211.0,45.0,87.0
Asc,ME,G-RA,>360,28565,418.0,77.0,108.0
Asc,MO,G-AZ,<=15,54228,3.0,6.0,19.0
Asc,MO,G-AZ,15-30,10357,25.0,6.0,22.0
Asc,MO,G-AZ,30-45,15407,32.0,6.0,22.0
Asc,MO,G-AZ,45-90,53296,60.0,5.0,19.0
Asc,MO,G-AZ,90-180,70030,125.0,7.0,31.0
Asc,MO,G-AZ,180-360,65469,211.0,31.0,106.0
Asc,MO,G-AZ,>360,28565,418.0,76.0,125.0
Asc,MO,G-LON,<=15,54228,3.0,5.0,15.0
Asc,MO,G-LON,15-30,10357,25.0,6.0,18.0
Asc,MO,G-LON,30-45,15407,32.0,6.0,17.0
Asc,MO,G-LON,45-90,53296,60.0,5.0,16.0
Asc,MO,G-LON,90-180,70030,125.0,6.0,31.0
Asc,MO,G-LON,180-360,65469,211.0,44.0,82.0
Asc,MO,G-LON,>360,28565,418.0,75.0,101.0
Asc,MO,G-RA,<=15,54228,3.0,5.0,15.0
Asc,MO,G-RA,15-30,10357,25.0,6.0,17.0
Asc,MO,G-RA,30-45,15407,32.0,6.0,17.0
Asc,MO,G-RA,45-90,53296,60.0,5.0,15.0
Asc,MO,G-RA,90-180,70030,125.0,6.0,31.0
Asc,MO,G-RA,180-360,65469,211.0,43.0,85.0
Asc,MO,G-RA,>360,28565,418.0,74.0,104.0
Asc,NE,G-AZ,<=15,54228,3.0,7.0,19.0
Asc,NE,G-AZ,15-30,10357,25.0,7.0,21.0
Asc,NE,G-AZ,30-45,15407,32.0,6.0,21.0
Asc,NE,G-AZ,45-90,53296,60.0,6.0,20.0
Asc,NE,G-AZ,90-180,70030,125.0,8.0,31.0
Asc,NE,G-AZ,180-360,65469,211.0,33.0,107.0
Asc,NE,G-AZ,>360,28565,418.0,88.0,125.0
Asc,NE,G-LON,<=15,54228,3.0,5.0,15.0
Asc,NE,G-LON,15-30,10357,25.0,6.0,18.0
Asc,NE,G-LON,30-45,15407,32.0,6.0,17.0
Asc,NE,G-LON,45-90,53296,60.0,5.0,16.0
Asc,NE,G-LON,90-180,70030,125.0,7.0,32.0
Asc,NE,G-LON,180-360,65469,211.0,46.0,85.0
Asc,NE,G-LON,>360,28565,418.0,79.0,105.0
Asc,NE,G-RA,<=15,54228,3.0,5.0,15.0
Asc,NE,G-RA,15-30,10357,25.0,6.0,18.0
Asc,NE,G-RA,30-45,15407,32.0,6.0,17.0
Asc,NE,G-RA,45-90,53296,60.0,5.0,16.0
Asc,NE,G-RA,90-180,70030,125.0,7.0,32.0
Asc,NE,G-RA,180-360,65469,211.0,45.0,88.0
Asc,NE,G-RA,>360,28565,418.0,77.0,108.0
Asc,NN,G-AZ,<=15,54228,3.0,6.0,18.0
Asc,NN,G-AZ,15-30,10357,25.0,6.0,22.0
Asc,NN,G-AZ,30-45,15407,32.0,6.0,22.0
