feature_id,track,origin,target_body,origin_frame,target_frame,frozen_resolution,modality,n_prominent_lobes,modality_5deg,modality_6deg,peak_deg_mean,peak_circ_sd,peak_lift_mean,peak_lift_min,support_min,local_grad_mean,hs16_prior,prior_shift,drop_candidate,engine_v1_candidate
EA x SA G-AZ,geo,EA,SA,G-AZ,G-AZ,6.0,unimodal_stable,3,unimodal_stable,unimodal_stable,238.0,2.2,1.2202,1.1865,220,0.02276,261.0,23.0,False,True
Asc G-LON x CE H-LON,helio,Asc,CE,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,357.4,22.4,1.1499,1.1321,399,0.022997,,,False,True
Asc G-LON x JN H-LON,helio,Asc,JN,G-LON,H-LON,5.0,unimodal_stable,3,unimodal_stable,unimodal_stable,273.8,1.0,1.1628,1.1273,415,0.019413,,,False,True
Asc G-LON x MA H-LON,helio,Asc,MA,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,248.3,29.6,1.1459,1.135,398,0.019971,,,False,True
Asc G-LON x PA H-LON,helio,Asc,PA,G-LON,H-LON,5.0,multimodal,3,multimodal,bimodal,267.5,44.3,1.1437,1.1296,271,0.023962,,,False,True
Asc G-LON x VS H-LON,helio,Asc,VS,G-LON,H-LON,5.0,unimodal_stable,3,unimodal_stable,bimodal,136.0,0.0,1.1546,1.1368,402,0.027685,,,False,True
EA G-LON x CE H-LON,helio,EA,CE,G-LON,H-LON,6.0,bimodal,2,multimodal,bimodal,85.5,47.6,1.1244,1.105,397,0.01971,,,False,True
EA G-LON x JN H-LON,helio,EA,JN,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,190.0,36.6,1.1848,1.1583,303,0.024745,,,False,True
EA G-LON x MA H-LON,helio,EA,MA,G-LON,H-LON,6.0,unimodal_stable,3,multimodal,unimodal_stable,234.0,6.0,1.1303,1.114,417,0.023814,,,False,True
EA G-LON x PA H-LON,helio,EA,PA,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,302.3,61.7,1.1366,1.1191,317,0.021932,,,False,True
EA G-LON x VS H-LON,helio,EA,VS,G-LON,H-LON,5.0,bimodal,2,bimodal,scatter_or_flat,91.3,59.9,1.1208,1.1051,342,0.019025,,,False,True
MC G-LON x CE H-LON,helio,MC,CE,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,104.4,67.7,1.1462,1.1357,349,0.021835,,,False,True
MC G-LON x JN H-LON,helio,MC,JN,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,185.5,69.3,1.1624,1.1373,283,0.023238,,,False,True
MC G-LON x MA H-LON,helio,MC,MA,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,316.5,56.9,1.1549,1.1481,362,0.022958,,,False,True
MC G-LON x PA H-LON,helio,MC,PA,G-LON,H-LON,6.0,multimodal,3,multimodal,multimodal,109.4,62.9,1.1451,1.128,451,0.016806,,,False,True
MC G-LON x VS H-LON,helio,MC,VS,G-LON,H-LON,6.0,multimodal,3,multimodal,multimodal,106.7,49.8,1.1144,1.0895,387,0.015807,,,False,True
VX G-LON x CE H-LON,helio,VX,CE,G-LON,H-LON,5.0,multimodal,3,multimodal,multimodal,268.4,105.0,1.158,1.1357,344,0.028809,,,False,True
VX G-LON x JN H-LON,helio,VX,JN,G-LON,H-LON,6.0,bimodal,2,multimodal,bimodal,358.5,62.9,1.1135,1.1089,340,0.018289,,,False,True
VX G-LON x MA H-LON,helio,VX,MA,G-LON,H-LON,6.0,unimodal_stable,3,multimodal,unimodal_stable,149.0,-0.0,1.193,1.1696,433,0.025442,,,False,True
VX G-LON x PA H-LON,helio,VX,PA,G-LON,H-LON,6.0,bimodal,2,multimodal,bimodal,126.3,49.3,1.1191,1.1016,480,0.018378,,,False,True
VX G-LON x VS H-LON,helio,VX,VS,G-LON,H-LON,6.0,multimodal,3,multimodal,multimodal,289.6,56.7,1.1136,1.1042,420,0.014542,,,False,True
Asc G-RA x CE H-LON,helio,Asc,CE,G-RA,H-LON,5.0,unimodal_stable,3,unimodal_stable,multimodal,342.0,6.0,1.1664,1.1558,408,0.02472,,,False,True
Asc G-RA x JN H-LON,helio,Asc,JN,G-RA,H-LON,5.0,unimodal_stable,3,unimodal_stable,unimodal_stable,274.2,2.4,1.1663,1.1389,414,0.026159,,,False,True
Asc G-RA x MA H-LON,helio,Asc,MA,G-RA,H-LON,5.0,multimodal,3,multimodal,multimodal,250.3,36.9,1.1426,1.1344,383,0.019915,,,False,True
Asc G-RA x PA H-LON,helio,Asc,PA,G-RA,H-LON,6.0,multimodal,3,multimodal,multimodal,330.6,25.8,1.127,1.0933,472,0.018259,,,False,True
Asc G-RA x VS H-LON,helio,Asc,VS,G-RA,H-LON,5.0,unimodal_stable,3,unimodal_stable,unimodal_stable,135.2,0.4,1.1606,1.1419,398,0.027694,,,False,True
EA G-RA x CE H-LON,helio,EA,CE,G-RA,H-LON,5.0,multimodal,3,multimodal,bimodal,13.4,67.3,1.1385,1.1163,329,0.017848,,,False,True
EA G-RA x JN H-LON,helio,EA,JN,G-RA,H-LON,5.0,multimodal,3,multimodal,multimodal,152.1,39.6,1.1719,1.1473,269,0.022156,,,False,True
