name,relative_path,parent_folder,suffix,size_kb,category,inferred_frames,is_csv,is_figure,is_document,sha256
VX_x_VE_G-LON_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-LON_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,67.53,topology_atlas,G-LON,True,False,False,fce8f40d4f141f435e475695d968ffa88e942072c9c6b90546002db8ab105caf
VX_x_VE_G-LON_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-LON_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.44,topology_atlas,G-LON,True,False,False,bd58ef74d60d394741ad1d85e9e97e2881fe0c70f0ec713782b3c2751c9c28bd
VX_x_VE_G-LON_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-LON_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,69.8,topology_atlas,G-LON,True,False,False,74f1a505666486686b15550c4724bf1c2ae45abc61bcffc10622552d9a1be4de
VX_x_VE_G-RA_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-RA_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,66.93,topology_atlas,G-RA,True,False,False,7a5a680d1d19074d06707b0c4f2ff53674e5d908bea8d5fc06ea1f7cd09b4dff
VX_x_VE_G-RA_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-RA_GHL_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,69.35,topology_atlas,G-RA,True,False,False,ec9a2b8185cd7d7b0a1ebd6a99b0a0a38221ea6ce540ab0951a8a6bb19b05c66
VX_x_VE_G-RA_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-RA_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.62,topology_atlas,G-RA,True,False,False,32268c40b7a835d2f48ea093515dac44509c141d5c00b9b16a6a9ac874e65b3c
EA_x_CE_G-RA_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-RA_HS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,67.79,topology_atlas,G-RA,True,False,False,425da13186b04ba7304c7be52ae86bf9797863258695ed90673d9f536ca5dca0
VX_x_VE_G-RA_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VE_G-RA_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,67.97,topology_atlas,G-RA,True,False,False,13042bcebc73c1c49318635399a9bbdb0389c34e5cc991a5fe41cec8db043921
EA_x_CE_G-LON_LS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_CE_G-LON_LS_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.72,topology_atlas,G-LON,True,False,False,2688f23d5d460732aa3838ae9fcca2fb5022e45f04834b91739ab57753441e60
VX_x_VS_G-RA_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-RA_BHW_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.26,topology_atlas,G-RA,True,False,False,fdcad6aa739142070160f2126ba8018685cd4fcea2557bf6bce5efb2e8d99084
VX_x_VS_G-RA_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-RA_GHL_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.31,topology_atlas,G-RA,True,False,False,e15633187c420d3119a7bd2e13e01c931e9185be161e1eed6df678e1478a0d1a
EA_x_JN_G-AZ_LS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/EA_x_JN_G-AZ_LS_smooth3_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,67.86,topology_atlas,G-AZ,True,False,False,b5d834662b1560bbb2b9b20adda1f41ee1ecc5dd79f560a0cc96d265a07e6f94
VX_x_VS_G-RA_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables/VX_x_VS_G-RA_BHW_smooth5_topology.csv,topological_archetype_atlas_v1_0/feature_engineering_bridge_v1_0/tables,.csv,68.65,topology_atlas,G-RA,True,False,False,a3d228ba78dc28cc4bc052739b3ea0744f529ff0887d72909f94928b8a77c855
