fold,feature_id,resolution,peak_degree,peak_rate,peak_lift,support_at_peak,local_gradient,below_support_floor,hs16_prior,peak_shift_from_hs16
2,VX x MA G-RA,6.0,234,0.5476,1.1853,294,0.032669,False,169.0,65.0
2,VX x PA G-RA,6.0,355,0.5301,1.1473,432,0.017377,False,219.0,136.0
2,Asc x JU G-AZ,6.0,38,0.5503,1.191,398,0.022473,False,70.0,32.0
2,Asc x NN G-AZ,6.0,277,0.5551,1.2014,236,0.044711,False,295.0,18.0
2,EA x JU G-AZ,6.0,46,0.5457,1.1811,383,0.023551,False,80.0,34.0
2,EA x NN G-AZ,6.0,286,0.5395,1.1676,228,0.028615,False,82.0,156.0
2,Asc x SA G-AZ,6.0,235,0.574,1.2423,223,0.032324,False,252.0,17.0
2,EA x SA G-AZ,6.0,238,0.5618,1.2159,251,0.018876,False,261.0,23.0
3,Asc x JN G-AZ,6.0,80,0.5222,1.1213,293,0.01988,False,30.0,50.0
3,Asc x MA G-AZ,6.0,251,0.5468,1.1742,203,0.034483,False,255.0,4.0
3,Asc x MO G-AZ,6.0,295,0.5551,1.1921,263,0.032109,False,77.0,142.0
3,Asc x PA G-AZ,5.0,12,0.5465,1.1737,333,0.020401,False,78.0,66.0
3,Asc x VS G-AZ,6.0,258,0.5482,1.1773,228,0.037283,False,260.0,2.0
3,EA x CE G-AZ,6.0,258,0.5399,1.1594,213,0.024947,False,117.0,141.0
3,EA x JN G-AZ,6.0,98,0.5274,1.1326,328,0.025872,False,93.0,5.0
3,EA x MA G-AZ,6.0,332,0.573,1.2305,178,0.034572,False,283.0,49.0
3,EA x MO G-AZ,6.0,61,0.5583,1.1989,283,0.024972,False,290.0,131.0
3,EA x PA G-AZ,6.0,270,0.5435,1.1671,322,0.019669,False,92.0,178.0
3,EA x VS G-AZ,6.0,277,0.5266,1.1308,188,0.023522,False,307.0,30.0
3,Asc x CE G-LON,5.0,55,0.535,1.1488,329,0.034955,False,54.0,1.0
3,Asc x JN G-LON,5.0,274,0.5111,1.0976,450,0.027429,False,124.0,150.0
3,Asc x MA G-LON,5.0,62,0.5522,1.1859,201,0.026812,False,93.0,31.0
3,Asc x PA G-LON,5.0,93,0.5289,1.1357,329,0.022388,False,285.0,168.0
3,Asc x VS G-LON,5.0,93,0.5409,1.1616,342,0.026333,False,96.0,3.0
3,EA x MA G-LON,5.0,337,0.542,1.1639,238,0.038267,False,341.0,4.0
3,EA x MO G-LON,5.0,219,0.5346,1.1479,376,0.029925,False,29.0,170.0
3,EA x VS G-LON,5.0,85,0.5271,1.1318,351,0.018445,False,45.0,40.0
3,MC x CE G-LON,5.0,65,0.5254,1.1282,335,0.016445,False,138.0,73.0
3,MC x MA G-LON,5.0,118,0.5278,1.1333,144,0.037982,False,109.0,9.0
3,MC x PA G-LON,5.0,17,0.55,1.1811,380,0.015844,False,156.0,139.0
3,MC x VS G-LON,5.0,178,0.5299,1.1379,368,0.020508,False,160.0,18.0
3,VX x CE G-LON,6.0,96,0.521,1.1188,476,0.013635,False,219.0,123.0
3,VX x MA G-LON,6.0,169,0.5372,1.1536,242,0.044486,False,135.0,34.0
3,VX x MO G-LON,6.0,61,0.5359,1.1507,446,0.022563,False,176.0,115.0
3,VX x PA G-LON,6.0,107,0.5179,1.112,448,0.017205,False,62.0,45.0
3,VX x VS G-LON,6.0,317,0.512,1.0995,623,0.017005,False,325.0,8.0
3,EA G-LON x MO G-RA,5.0,64,0.5374,1.1539,348,0.025143,False,28.0,36.0
3,MC G-LON x MO G-RA,5.0,153,0.5268,1.1312,355,0.01827,False,117.0,36.0
3,VX G-LON x MO G-RA,6.0,61,0.52,1.1166,475,0.016398,False,80.0,19.0
3,VX G-RA x MO G-LON,6.0,62,0.5328,1.144,458,0.016056,False,354.0,68.0
3,Asc x JN G-RA,5.0,49,0.5329,1.1443,304,0.029627,False,122.0,73.0
3,Asc x MA G-RA,5.0,206,0.5424,1.1647,743,0.022024,False,63.0,143.0
3,Asc x PA G-RA,5.0,311,0.5391,1.1576,384,0.028424,False,87.0,136.0
3,EA x CE G-RA,5.0,340,0.5412,1.1621,340,0.0269,False,329.0,11.0
3,EA x MO G-RA,5.0,66,0.5326,1.1437,353,0.020702,False,79.0,13.0
3,EA x VS G-RA,5.0,92,0.529,1.1359,397,0.019489,False,323.0,129.0
3,MC x CE G-RA,5.0,70,0.5412,1.1621,340,0.0269,False,59.0,11.0
3,MC x VS G-RA,5.0,182,0.529,1.1359,397,0.019489,False,53.0,129.0
3,VX x MA G-RA,6.0,169,0.5495,1.1801,222,0.04955,False,169.0,0.0
3,VX x PA G-RA,6.0,354,0.5228,1.1226,461,0.018186,False,219.0,135.0
3,Asc x JU G-AZ,6.0,38,0.5487,1.1783,421,0.02075,False,70.0,32.0
3,Asc x NN G-AZ,6.0,148,0.5361,1.1513,498,0.014963,False,295.0,147.0
3,EA x JU G-AZ,6.0,46,0.5445,1.1692,371,0.020033,False,80.0,34.0
3,EA x NN G-AZ,6.0,147,0.5371,1.1533,445,0.018011,False,82.0,65.0
3,Asc x SA G-AZ,6.0,235,0.5853,1.2568,217,0.029698,False,252.0,17.0
3,EA x SA G-AZ,6.0,240,0.5733,1.231,232,0.024497,False,261.0,21.0
4,Asc x JN G-AZ,6.0,72,0.5351,1.1517,271,0.022839,False,30.0,42.0
4,Asc x MA G-AZ,6.0,251,0.5567,1.1983,194,0.034951,False,255.0,4.0
4,Asc x MO G-AZ,6.0,295,0.5602,1.2057,266,0.033586,False,77.0,142.0
4,Asc x PA G-AZ,5.0,80,0.5671,1.2207,231,0.056075,False,78.0,2.0
4,Asc x VS G-AZ,6.0,258,0.5475,1.1785,221,0.040645,False,260.0,2.0
4,EA x CE G-AZ,6.0,265,0.5879,1.2655,182,0.016822,False,117.0,148.0
4,EA x JN G-AZ,6.0,114,0.5323,1.1458,325,0.018099,False,93.0,21.0
4,EA x MA G-AZ,6.0,243,0.5541,1.1926,296,0.020786,False,283.0,40.0
4,EA x MO G-AZ,6.0,62,0.5502,1.1843,289,0.026854,False,290.0,132.0
4,EA x PA G-AZ,6.0,271,0.5405,1.1635,296,0.025527,False,92.0,179.0
4,EA x VS G-AZ,6.0,281,0.5319,1.145,188,0.029351,False,307.0,26.0
4,Asc x CE G-LON,5.0,53,0.5361,1.1541,332,0.032633,False,54.0,1.0
4,Asc x JN G-LON,5.0,191,0.5172,1.1132,379,0.025347,False,124.0,67.0
4,Asc x MA G-LON,5.0,58,0.5291,1.139,206,0.026757,False,93.0,35.0
4,Asc x PA G-LON,5.0,282,0.5341,1.1498,410,0.012632,False,285.0,3.0
4,Asc x VS G-LON,5.0,77,0.539,1.1602,282,0.028231,False,96.0,19.0
4,EA x MA G-LON,5.0,300,0.5426,1.168,352,0.038316,False,341.0,41.0
