feature_id,feature_key,source_file,source_path,system_pair,matrix_rows,matrix_aspect_feature_columns,feature_name,origin,origin_frame,target_body,target_frame,same_or_cross,origin_category,coverage_tier,h_lon_origin_in_scope,analysis_scope_flag
EA G-AZ x PL G-LON,EA_G_AZ_PL_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,EA G-AZ x PL G-LON,EA,G-AZ,PL,G-LON,cross,angle_origin,Sparse-coverage,True,in_scope
MO G-AZ x ME G-LON,MO_G_AZ_ME_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x ME G-LON,MO,G-AZ,ME,G-LON,cross,moon_origin,Constrained-motion,True,in_scope
MO G-AZ x VE G-LON,MO_G_AZ_VE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x VE G-LON,MO,G-AZ,VE,G-LON,cross,moon_origin,Constrained-motion,True,in_scope
MO G-AZ x SU G-LON,MO_G_AZ_SU_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x SU G-LON,MO,G-AZ,SU,G-LON,cross,moon_origin,Constrained-motion,True,in_scope
MO G-AZ x MA G-LON,MO_G_AZ_MA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x MA G-LON,MO,G-AZ,MA,G-LON,cross,moon_origin,Tier A,True,in_scope
MO G-AZ x JN G-LON,MO_G_AZ_JN_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x JN G-LON,MO,G-AZ,JN,G-LON,cross,moon_origin,Tier A,True,in_scope
MO G-AZ x CE G-LON,MO_G_AZ_CE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x CE G-LON,MO,G-AZ,CE,G-LON,cross,moon_origin,Tier A,True,in_scope
MO G-AZ x VS G-LON,MO_G_AZ_VS_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x VS G-LON,MO,G-AZ,VS,G-LON,cross,moon_origin,Tier A,True,in_scope
MO G-AZ x PA G-LON,MO_G_AZ_PA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x PA G-LON,MO,G-AZ,PA,G-LON,cross,moon_origin,Tier A,True,in_scope
MO G-AZ x JU G-LON,MO_G_AZ_JU_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x JU G-LON,MO,G-AZ,JU,G-LON,cross,moon_origin,Tier B,True,in_scope
MO G-AZ x NN G-LON,MO_G_AZ_NN_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x NN G-LON,MO,G-AZ,NN,G-LON,cross,moon_origin,Tier B,True,in_scope
MO G-AZ x SA G-LON,MO_G_AZ_SA_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x SA G-LON,MO,G-AZ,SA,G-LON,cross,moon_origin,Tier C,True,in_scope
MO G-AZ x UR G-LON,MO_G_AZ_UR_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x UR G-LON,MO,G-AZ,UR,G-LON,cross,moon_origin,Sparse-coverage,True,in_scope
MO G-AZ x NE G-LON,MO_G_AZ_NE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x NE G-LON,MO,G-AZ,NE,G-LON,cross,moon_origin,Sparse-coverage,True,in_scope
MO G-AZ x PL G-LON,MO_G_AZ_PL_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,MO G-AZ x PL G-LON,MO,G-AZ,PL,G-LON,cross,moon_origin,Sparse-coverage,True,in_scope
ME G-AZ x VE G-LON,ME_G_AZ_VE_G_LON,MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,G-AZ x G-LON,57635,141,ME G-AZ x VE G-LON,ME,G-AZ,VE,G-LON,cross,heliocentric_origin,Constrained-motion,True,in_scope
